chainId,chainName,chainLogoURI,subnetId,day1TxCount,day2TxCount,day3TxCount,day4TxCount,day5TxCount,day6TxCount,day7TxCount,weeklyTxCount,weeklyContractsDeployed,weeklyActiveAddresses,totalIcmMessages,validatorCount
80000,"aibmainnet","","2qJPnDkDH6hn3PVzxzkUdTqDD1HeAnTT8FL4t2BJagc2iuq8j7",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
8787,"animalia","","TfTBHvcxpBfxPntMpadskcZTH8AG5rgkrNyz2DzeByNMsZkMo",0,0,0,0,0,0,0,0,0,0,N/A,10
4313,"artery","","25VdGtdQPejyffNLpTqh4BH2NABXT8Zxup6ee3B4htrMryofUB",10898,18031,17952,18192,37143,37386,37602,177204,0,64142,N/A,5
65713,"as0314t1tp","","2vL4TMT23mZzTsdkSSMFWZArFNWskR3xRWvCLxdrgd4rCe6vVy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
40404,"bango","","2r7mmEKg3R2gTD22TtErn8KD8TmLeSjVXHdwMpH2S9BESUxH7q",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
5506,"bangochain","","4Wuefof5Lp2v5KfmJRnsGJz9HPX4UzWP7DZC5SyhQcXRQkyPp",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5
4337,"beam","","eYwmVU67LmSfZb1RwqCMhBYkFyG8ftxn6jAwqzFmxC9STBWLC",12229,21467,16946,8774,7860,6922,7815,82013,229,48686,N/A,5385
46975,"blaze","","j6HXQWdpRhX7yHMWLehUyYDjypHa455vP5tuiXZ81nkPgveFV",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
1344,"blitz","","yPUx56ffTBML1QfomcBvwfBxfE3LSgqkBNfxTCpx5dr4NNFGB",0,0,0,0,0,0,0,0,0,0,N/A,12
28530,"btic","","2Ypm6RVhddu5Ps8DEbb35Y1PgX4uXE76yyxn6JMhnZy8ftAFLW",5526,18307,13981,23478,12755,13515,17064,104626,0,21,N/A,5
43114,"c_chain","","11111111111111111111111111111111LpoYY",836844,1296933,1318333,1297297,1343248,1206804,1421835,8721294,1248756,1912895,544172,1384
35414,"cedomis","","2LyJdHSdQDwg84nrbLrmtvEoAuudg41dWnhrbjMQUq78bdDHnT",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6
2053,"certalink","","2hZa4RMWAkiQAQ5zpbPSkNziYSHyCqBGeKNnbqWfJL2GKmy8eq",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
33210,"cloudverse","","4YtJVNm6KnytRaEDeezC3mHK5FnsP75Sjgxa5eiav3sxNUQD9",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42069,"coqnet","","5moznRzaAEhzWkNTQVdT1U4Kb9EU7dbsKZQNmHwtN5MGVQRyT",7876393,12460547,12618985,12864813,12958562,12954501,12943143,84676944,0,8143,66550,1167
737373,"cx","","WChFQ1twkXBLxZGo4qojC9AgizFrRdMRnPCK9FZmisY7z6pUs",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127
707070,"cxchain","","yD6k6gVKmzFbefPcdYjsJz17KVQFSivTR1emJ5cTBvq2d8MRg",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
96786,"delaunch","","2ocjsdpN9czPYmHqS4Tc5Aydj4zk2WWVdX9jdXtqvMjQuf9pgV",0,0,0,0,0,0,0,0,0,0,N/A,10
75685,"demol1","","2ZKrfJUwXDsp27ggtxTqhWnzV87GpHppu2XJsv2nmFkHefHZZ5",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
432204,"dexalot","","wenKDikJWAYQs3f2v9JhV86fC6kHZwkFZsuUBftnmgZ4QXPnu",662752,995865,1061411,1062642,839377,813113,1052080,6487240,2,1212,57032,10
53935,"dfk","","Vn3aX6hNRstj5VHHm63TCgPNaeGnRSqCYXQqemSqDd2TQH4qJ",397411,685026,656130,609346,667046,592646,577524,4185129,0,69865,N/A,14
7979,"dos","","nQCwF6V9y8VFjvMuPeQVWWYn6ba75518Dpf6ZMWZNb3NyTA94",5734,10606,10871,11368,11240,9525,10253,69597,14,4079,N/A,8
389,"etx","","q54cgHa9RN2NFp9qsfpPzVkhgn8xqDgKEQR1G997xZ1P5Dc8o",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16
33345,"even","","VsxF67NQTACc2fLQL9fD3F8LzJ5eezcSGFNitGsk7VxKbPwcD",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
33311,"feature","","29p4FdSKaXQPyw8sqhzJSK37FXuPHdyECau186qZSUNRhk3QuB",35,15,34,3,0,0,0,87,0,12,88,2
13322,"fifa","","h7egyVb6fKHMDpVaEsTEcy7YaEnXrayxZS4A1AEU4pyBzmwGp",1313,1053,670,1348,2144,1067,1426,9021,284,2426,N/A,68
62786,"frqtal","","FAjUPxhRewh9vk8dSzcgRFZRLaCaNVg6gb5TcHwKsehuQ7k6p",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62789,"frqtalnet","","5vcCHz5fgd1hWyXaKiLnMAVjmh4qW7yFxNbASBjxCXZYE445N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
741741,"goodcare","","2TqrQau4E99KoUXcFjyf1Pek3rUHpDpqtN9rC5GDaCKFu7dfPo",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,10
6765897101,"greendot","","VzsCkPm6MjStgT2v5Qmcn5ycgMhj68rxPN4gX9eMgBbBXHYEu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43419,"gunzilla","","2MbQjnTg3yxEtZBfnamboi7K9AajwNq7WExiwReBQSBtwbBVer",61675,173345,101008,96379,104215,104401,140179,781202,6,48778,344,8
43512,"gunzilla","","9ewhue9Lyryt1G4H1icgZotc6wRVwiPgmiVemSN24JXwg91JH",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
35578,"henesys","","nBv88rWrKMXNGBmnwkA4P5HCRPcU1VVxenJGZnXZbc8CADqCQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68414,"henesysmsu","","jmLmezoViv3F72XLzpdmSNk3qLEGb72g5EYkp3ij4wHXPF2KN",0,0,0,0,0,0,0,0,0,0,371777,22
1992,"hubblenet","","2mxZY7A2t1tuRMALW4BcBUPVGNR3LH1DXhftdbLAHm1QtDkFp8",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2345,"ienium","","7SeGzzeirxi9tAn594hTSmZb8BQdYzwNgWSHa9DqJ9hCUYbFx",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151122,"intainmkt","","2UEGsEEjRyMSgD7cNufCGEXbPXsma7RctBgfRw3Haqkk8oByFa",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
1216,"intersect","","2UPuVAx5yFubvDPm6CYywT4mYAdTW3zM1XXD7R7ic8s2zQhF8U",0,0,0,0,0,0,0,0,0,0,N/A,17
6533,"kalichain","","x1C95jnFyLV3x8tiiCW7ZFRoRFgq9SX1Yprwfxx4GCTujggYB",1137,1856,1872,1818,1880,1882,1810,12255,1,208,7,10
379,"koroshi","","pchqewRRQHwx1B3XJEq9p2HGSdjrHsyv48YzVUWXZbrmH4TM6",4,6,2,5,19,10,1,47,0,74,2611,10
10849,"lamina1","","2hoHzxcZktxrTNoqCZhR9bEctc5oCuBqSp6SpRn6uvwxzLkvnD",367543,605065,69388,0,0,0,0,1041996,2,567,1491,23
50776,"letsbuyhc","","f6ewGNYxGRjQ1SFfhL2tiHCMHzz9AHdTuPe11dRNarGbp3dES",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
62521,"lucid","","hbP3PrnQS71Py1VVxvHfnCnr7MWos3XQesEsCKQoA9hpciyVR",0,0,0,0,0,0,0,0,0,0,3,10
17177,"lylty","","2iumcj2wiV9BQ96LRHpYNpD1SHhb8Vcvm8YUebZSqcFeJakTo6",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
5419,"marnisa","","sZ1zmoQx3NeV8WB5D3np8xYUJ2p5hKfWFXDeuSGvxyZkCABs2",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
3454,"masa","","P8teobyNzpvniT7XGhXdEnkXiXvkk3eM4vSYtHUTAJcuV3jLb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13396,"masanetwor","","yEQe3LdJgjxBqG28gRjLUu86qFCcNbWnkPtPr7ZHg8pLx1SUJ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
333000333,"meld","","2ibTg9ruyJRQf4NpRbkd1Utcfayo3gRRpkoWGCWNC3oXTZoYCe",0,0,0,0,0,0,0,0,0,0,N/A,N/A
1888,"memoria","","2sF5Pb165jhdeNSy2kT4WyDYazu3buh1WGh77oTBA9dDjBPtsy",0,0,0,0,0,0,0,0,0,0,137,10
74601,"mi0624t1ms","","2AoD4ut6sXc7ZXVXbmDVb3QwUpuReLPkTTzbLrafTQ5QhtvPRu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53849,"mi0624t2ms","","D3s1GVeZfhWwjDrMLbcWUo5GF6t2CHTipok9o96hDJRgAS8iD",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50476,"mi0624t3ms","","JAvcXjdGsBHr8uPgvGaVvQzVCBpbv3nxAJrJUd7X38cupD2tY",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
